Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Bank,Bank Index,URCALL,RPT1CALL,RPT2CALL,Power
0,BNTFUL1,147.3,-,0.6,Tone,123,88.5,23,NN,FM,5,,,-1,,,,High
1,BNTFUL2,449.35,-,5,Tone,123,88.5,23,NN,FM,5,,,-1,,,,High
2,ANISLN1,447.2,-,5,Tone,127.3,88.5,23,NN,FM,5,,,-1,,,,High
3,ANISLN2,147.04,+,0.6,Tone,123,88.5,23,NN,FM,5,,,-1,,,,High
4,MTOGDN1,146.82,-,0.6,Tone,123,88.5,23,NN,FM,5,,,-1,,,,High
5,MTOGDN2,448.6,-,5,Tone,123,88.5,23,NN,FM,5,,,-1,,,,High
6,LILMTN1,146.9,-,0.6,Tone,123,88.5,23,NN,FM,5,,,-1,,,,High
7,LILMTN2,448.575,-,5,Tone,100,88.5,23,NN,FM,5,,,-1,,,,High
8,UTCOUNT,146.76,-,0.6,,100,88.5,23,NN,FM,5,,,-1,,,,High
9,FARNPK1,146.62,-,0.6,,100,88.5,23,NN,FM,5,,,-1,,,,High
10,FARNPK2,147.12,+,0.6,Tone,100,88.5,23,NN,FM,5,,,-1,,,,High
11,FARNPK3,449.1,-,5,Tone,146.2,88.5,23,NN,FM,5,,,-1,,,,High
12,FARNPK4,449.5,-,5,Tone,100,88.5,23,NN,FM,5,,,-1,,,,High
13,PROVO,143.33,-,0.6,Tone,100,88.5,23,NN,FM,5,,,-1,,,,High
14,NORTHSL,449.925,-,5,Tone,100,88.5,23,NN,FM,5,,,-1,,,,High
15,BRIGHM1,145.29,-,0.6,Tone,123,88.5,23,NN,FM,5,,,-1,,,,High
16,BRIGHM2,145.43,-,0.6,Tone,123,88.5,23,NN,FM,5,,,-1,,,,High
17,BRIGHM3,147.22,+,0.6,Tone,123,88.5,23,NN,FM,5,,,-1,,,,High
18,BRIGHM4,448.3,-,5,Tone,123,88.5,23,NN,FM,5,,,-1,,,,High
19,LOGAN,146.64,-,0.6,,123,88.5,23,NN,FM,5,,,-1,,,,High
20,MTLOGN1,146.72,-,0.6,Tone,103.5,88.5,23,NN,FM,5,,,-1,,,,High
